Match #,LISTING DATE,Event Name,PRIMARY,VENUE,CAPACITY,LOCATION,DATE,Week Day,Listing Qt,Ticket Qty,Price Min,Price P25,Price P50,Visits L1H,Visits L24H,Visits L3D,Trans. L24H ,Trans. L3D,TRANS L7,PRESALE,On Sale,Trans. L1H,Visits L7D
1,3/2/2026,Mexico vs South Africa - World Cup - Group A ,FIFA,Estadio Azteca (Estadio Banorte),"98,500","Ciudad de México, Estado de Mexico, Mexico",06/11 2:00PM,Thu,438,"2,652","$2,695.50 ","$4,969.69 ","$7,732.94 ",$369.00 ,"10,270","24,322",2,5,11,09/10 1:00PM,,0,24499
10,3/2/2026,Germany vs Curaçao - World Cup - Group E ,FIFA,NRG Stadium,"71,500","Houston, Texas, United States",06/14 12:00PM,Sun,765,"3,124",$375.31 ,$646.55 ,$979.06 ,"1,271","31,802","76,556",4,17,40,09/10 2:00PM,,0,76726
100,3/2/2026,W95 vs W96 - World Cup - Quarter-Finals ,FIFA,GEHA Field at Arrowhead Stadium,"76,416","Kansas City, Missouri, United States",07/11 8:00PM,Sat,592,"2,588","$1,430.80 ","$2,500.09 ","$3,480.91 ","1,873","56,368","145,955",2,6,13,09/10 2:00PM,,0,146656
101,3/2/2026,W97 vs W98 - World Cup - Semi Finals ,FIFA,AT&T Stadium,"80,000","Arlington, Texas, United States",07/14 2:00PM,Tue,635,"2,915","$1,946.44 ","$3,430.34 ","$5,411.76 ","1,050","37,251","100,361",2,5,13,09/10 2:00PM,,0,101052
102,3/2/2026,W99 vs W100 - World Cup - Semi Finals ,FIFA,Mercedes-Benz Stadium,"71,000","Atlanta, Georgia, United States",07/15 3:00PM,Wed,685,"3,034","$1,746.00 ","$3,420.42 ","$5,304.00 ","$1,035.00 ","36,272","98,575",5,6,12,09/10 3:00PM,,0,99235
103,3/2/2026,L101 vs L102 - World Cup - 3rd Place ,FIFA,Hard Rock Stadium,"76,100","Miami, Florida, United States",07/18 5:00PM,Sat,732,"3,050",$899.10 ,"$1,399.98 ","$2,549.49 ","1,489","50,982","148,986",3,9,18,09/10 3:00PM,,0,150007
104,3/2/2026,W101 vs W102 - World Cup - Final ,FIFA,MetLife Stadium,"82,500","East Rutherford, New Jersey, United States",07/19 3:00PM,Sun,444,"1,841","$7,254.00 ","$12,182.99 ","$17,494.61 ","$1,120.00 ","39,694","107,540",0,3,11,09/10 3:00PM,,0,108287
11,3/2/2026,Netherlands vs Japan - World Cup - Group F ,FIFA,AT&T Stadium,"80,000","Arlington, Texas, United States",06/14 3:00PM,Sun,535,"2,181",$585.00 ,"$1,017.92 ","$1,382.34 ",269,"7,683","19,373",12,31,59,09/10 2:00PM,,0,19523
12,3/2/2026,TBA vs Tunisia - World Cup - Group F ,FIFA,Estadio BBVA Bancomer,"52,237","Monterrey, Nuevo Leon, Mexico",06/14 9:00PM,Sun,371,"1,667",$214.49 ,$379.11 ,$763.70 ,183,"5,430","14,112",2,7,21,09/10 1:00PM,,0,14225
13,3/2/2026,Saudi Arabia vs Uruguay - World Cup - Group H ,FIFA,Hard Rock Stadium,"76,100","Miami, Florida, United States",06/15 6:00PM,Mon,834,"3,385",$293.48 ,$489.10 ,$765.00 ,"1,293","32,371","76,734",3,22,47,09/10 3:00PM,,0,76903
14,3/2/2026,Spain vs Cabo Verde - World Cup - Group H ,FIFA,Mercedes-Benz Stadium,"71,000","Atlanta, Georgia, United States",06/15 12:00PM,Mon,773,"3,171",$377.51 ,$624.00 ,$980.04 ,"1,296","31,770","74,523",7,21,49,09/10 3:00PM,,0,74670
15,3/2/2026,Iran vs New Zealand - World Cup - Group G ,FIFA,SoFi Stadium,"70,240","Inglewood, California, United States",06/15 6:00PM,Mon,911,"3,619",$294.00 ,$568.78 ,$949.00 ,209,"7,013","24,868",3,13,27,09/10 12:00PM,,0,25039
16,3/2/2026,Belgium vs Egypt - World Cup - Group G ,FIFA,Lumen Field,"67,000","Seattle, Washington, United States",06/15 12:00PM,Mon,610,"2,483",$387.00 ,$655.17 ,$965.70 ,229,"7,318","17,999",3,13,37,09/10 12:00PM,,0,18152
17,3/2/2026,France vs Senegal - World Cup - Group I ,FIFA,MetLife Stadium,"82,500","East Rutherford, New Jersey, United States",06/16 3:00PM,Tue,724,"3,060",$542.96 ,$944.40 ,"$1,456.92 ","1,331","33,581","80,492",9,25,61,09/10 3:00PM,,0,80718
18,3/2/2026,TBD vs Norway - World Cup - Group I ,FIFA,Gillette Stadium,"68,756","Foxborough, Massachusetts, United States",06/16 6:00PM,Tue,606,"2,642",$461.44 ,$680.19 ,"$1,106.90 ",211,"6,759","16,319",4,10,17,09/10 3:00PM,,0,16440
19,3/2/2026,Argentina vs Algeria - World Cup - Group J ,FIFA,GEHA Field at Arrowhead Stadium,"76,416","Kansas City, Missouri, United States",06/16 8:00PM,Tue,749,"3,115",$693.00 ,"$1,119.64 ","$1,982.70 ",255,"7,601","36,909",6,20,50,09/10 2:00PM,,0,37047
2,3/2/2026,Korea Republic vs TBD - World Cup - Group A ,FIFA,Estadio Akron (Chivas Stadium),"49,800","Zapopan, Estado de Jalisco, Mexico",06/11 9:00PM,Thu,340,"1,832",$364.32 ,$660.00 ,"$1,230.11 ","1,321","32,685","77,060",3,9,15,09/10 1:00PM,,0,77242
20,3/2/2026,Austria vs Jordan - World Cup - Group J ,FIFA,Levi's Stadium,"75,000","Santa Clara, California, United States",06/16 9:00PM,Tue,711,"2,824",$221.12 ,$490.00 ,$800.00 ,218,"7,038","15,076",3,11,31,09/10 12:00PM,,0,15174
21,3/2/2026,Ghana vs Panama - World Cup - Group L ,FIFA,BMO Field,"30,000","Toronto, Ontario, Canada",06/17 7:00PM,Wed,390,"1,725",$420.85 ,$637.04 ,"$1,015.73 ",221,"7,566","18,152",2,11,24,09/10 12:00PM,,0,18290
22,3/2/2026,England vs Croatia - World Cup - Group L ,FIFA,AT&T Stadium,"80,000","Arlington, Texas, United States",06/17 3:00PM,Wed,650,"3,313",$893.31 ,"$1,677.60 ","$3,420.00 ","1,049","27,690","63,786",3,11,33,09/10 2:00PM,,0,63932
23,3/2/2026,Portugal vs TBD - World Cup - Group K ,FIFA,NRG Stadium,"71,500","Houston, Texas, United States",06/17 12:00PM,Wed,836,"3,473",$545.81 ,$919.77 ,"$1,499.50 ","1,327","33,254","79,074",3,12,37,09/10 2:00PM,,0,79262
24,3/2/2026,Uzbekistan vs Colombia - World Cup - Group K ,FIFA,Estadio Azteca (Estadio Banorte),"98,500","Ciudad de México, Estado de Mexico, Mexico",06/17 9:00PM,Wed,393,"1,798",$614.38 ,$887.25 ,"$1,232.00 ","1,277","30,705","71,849",5,14,47,09/10 1:00PM,,0,71972
25,3/2/2026,TBD vs South Africa - World Cup - Group A ,FIFA,Mercedes-Benz Stadium,"71,000","Atlanta, Georgia, United States",06/18 12:00PM,Thu,604,"2,621",$249.90 ,$506.37 ,$927.13 ,"1,226","30,090","70,177",2,7,27,09/10 3:00PM,,0,70279
