Match #,TEAM 1,TEAM 2,Group / Round,Event Id,Event Name,Performer,Event Date,Venue,State/Province,Country,Sold Quantity,Sold Proceeds,Sold Cost,Margin,P & L,UNIT.P&L,UNIT LIST PRICE,Unsold Quantity,Unsold Cost,UNSOLD_UNITCOST
104,W101,W102,Final,153020449,W101 vs W102 - World Cup - Final (Match 104),World Cup,7/19/2026 3:00:00 PM +00:00,MetLife Stadium,New Jersey,USA,0,,$0.00 ,0,$0.00 ,$0.00 ,"$10,010.08 ",8,"$48,240.00 ","$6,030.00 "
6,Australia,TBD,Group D,153020454,Australia vs TBD - World Cup - Group D (Match 6),World Cup,6/13/2026 9:00:00 PM +00:00,BC Place Stadium,British Columbia,Canada,0,,$0.00 ,0,$0.00 ,$0.00 ,$953.12 ,20,"$8,860.00 ",$443.00 
51,Switzerland,Canada,Group B,153020467,Switzerland vs Canada - World Cup - Group B (Match 51),World Cup,6/24/2026 12:00:00 PM +00:00,BC Place Stadium,British Columbia,Canada,0,,$0.00 ,0,$0.00 ,$0.00 ,$881.09 ,4,"$2,800.00 ",$700.00 
64,New Zealand,Belgium,Group G,153020469,New Zealand vs Belgium - World Cup - Group G (Match 64),World Cup,6/26/2026 8:00:00 PM +00:00,BC Place Stadium,British Columbia,Canada,2,$686.68 ,$615.94 ,0.103017417,$70.74 ,$35.37 ,$671.24 ,11,"$4,900.00 ",$445.45 
85,1B,3E/F/G/I/J,Round of 32,153020498,1B vs 3E/F/G/I/J - World Cup - Round of 32 (Match 85),World Cup,7/2/2026 8:00:00 PM +00:00,BC Place Stadium,British Columbia,Canada,0,,$0.00 ,0,$0.00 ,$0.00 ,"$1,758.25 ",22,"$21,271.88 ",$966.90 
96,W85,W87,Round of 16,153020500,W85 vs W87 - World Cup - Round of 16 (Match 96),World Cup,7/7/2026 1:00:00 PM +00:00,BC Place Stadium,British Columbia,Canada,0,,$0.00 ,0,$0.00 ,$0.00 ,"$2,285.27 ",17,"$19,099.64 ","$1,123.51 "
16,Belgium,Egypt,Group G,153020522,Belgium vs Egypt - World Cup - Group G (Match 16),World Cup,6/15/2026 12:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Washington,USA,12,"$6,248.63 ","$3,720.00 ",0.404669503,"$2,528.63 ",$210.72 ,"$1,428.41 ",10,"$4,240.00 ",$424.00 
32,United States,Australia,Group D,153020544,United States vs Australia - World Cup - Group D (Match 32),World Cup,6/19/2026 12:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Washington,USA,4,"$3,673.82 ",$880.00 ,0.760467306,"$2,793.82 ",$698.46 ,"$3,557.65 ",4,"$1,880.00 ",$470.00 
52,TBD,Qatar,Group B,153020556,TBD vs Qatar - World Cup - Group B (Match 52),World Cup,6/24/2026 12:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Washington,USA,16,"$4,545.92 ","$4,146.54 ",0.087854603,$399.38 ,$24.96 ,$817.20 ,33,"$12,000.64 ",$363.66 
63,Egypt,Iran,Group G,153020570,Egypt vs Iran - World Cup - Group G (Match 63),World Cup,6/26/2026 8:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Washington,USA,49,"$20,184.55 ","$12,530.00 ",0.379228172,"$7,654.55 ",$156.22 ,"$1,896.71 ",15,"$4,650.00 ",$310.00 
82,1G,3A/E/H/I/J,Round of 32,153020573,1G vs 3A/E/H/I/J - World Cup - Round of 32 (Match 82),World Cup,7/1/2026 1:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Washington,USA,8,"$3,343.75 ","$1,440.00 ",0.569345794,"$1,903.75 ",$237.97 ,"$1,255.35 ",61,"$29,187.08 ",$478.48 
94,W81,W82,Round of 16,153020574,W81 vs W82 - World Cup - Round of 16 (Match 94),World Cup,7/6/2026 5:00:00 PM +00:00,Lumen Field at Lumen Field Event Complex - Complex,Washington,USA,20,"$25,525.15 ","$13,614.92 ",0.466607639,"$11,910.23 ",$595.51 ,"$2,462.08 ",32,"$17,280.00 ",$540.00 
8,Qatar,Switzerland,Group B,153020611,Qatar vs Switzerland - World Cup - Group B (Match 8),World Cup,6/13/2026 12:00:00 PM +00:00,Levi's Stadium,California,USA,40,"$20,279.21 ","$16,724.10 ",0.175308111,"$3,555.11 ",$88.88 ,"$1,851.83 ",19,"$9,339.58 ",$491.56 
20,Austria,Jordan,Group J,153020625,Austria vs Jordan - World Cup - Group J (Match 20),World Cup,6/16/2026 9:00:00 PM +00:00,Levi's Stadium,California,USA,20,"$10,688.42 ","$10,540.00 ",0.013886056,$148.42 ,$7.42 ,"$3,054.42 ",4,"$1,520.00 ",$380.00 
31,TBD,Paraguay,Group D,153020644,TBD vs Paraguay - World Cup - Group D (Match 31),World Cup,6/19/2026 9:00:00 PM +00:00,Levi's Stadium,California,USA,62,"$30,454.61 ","$28,810.00 ",0.054002004,"$1,644.61 ",$26.53 ,"$1,311.10 ",50,"$23,910.00 ",$478.20 
44,Jordan,Algeria,Group J,153020662,Jordan vs Algeria - World Cup - Group J (Match 44),World Cup,6/22/2026 8:00:00 PM +00:00,Levi's Stadium,California,USA,48,"$14,640.50 ","$14,260.00 ",0.025989549,$380.50 ,$7.93 ,"$2,149.42 ",8,"$3,380.00 ",$422.50 
60,Paraguay,Australia,Group D,153020677,Paraguay vs Australia - World Cup - Group D (Match 60),World Cup,6/25/2026 7:00:00 PM +00:00,Levi's Stadium,California,USA,48,"$23,304.16 ","$20,040.00 ",0.140067696,"$3,264.16 ",$68.00 ,"$1,797.07 ",24,"$11,540.00 ",$480.83 
81,1D,3B/E/F/I/J,Round of 32,153020696,1D vs 3B/E/F/I/J - World Cup - Round of 32 (Match 81),World Cup,7/1/2026 5:00:00 PM +00:00,Levi's Stadium,California,USA,0,,$0.00 ,0,$0.00 ,$0.00 ,"$1,275.76 ",19,"$11,635.00 ",$612.37 
4,United States,Paraguay,Group D,153020709,United States vs Paraguay - World Cup - Group D (Match 4),World Cup,6/12/2026 6:00:00 PM +00:00,SoFi Stadium,California,USA,2,"$4,804.86 ","$3,880.00 ",0.192484276,$924.86 ,$462.43 ,"$2,729.41 ",18,"$24,340.00 ","$1,352.22 "
