MATCH #,TEAM 1,TEAM 2,GROUP,Event Id,Event Name,Event Date,Venue,Section,Sold Quantity,Sold Proceeds,Sold Cost,Margin,P & L,UNIT.P&L,Unsold Quantity,Unsold Cost,UNIT LIST PRICE,Unit Cost
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$781.70 ,$391.25 ,$390.85 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$2,599.95 ",$625.19 ,$649.99 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 4,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,311.88 ",$758.86 ,$327.97 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$2,653.28 ",$904.75 ,$663.32 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),CATEGORY 3,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,366.08 ",$629.58 ,$341.52 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),CATEGORY 3,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$683.04 ,$593.60 ,$341.52 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 3,2,$724.56 ,$635.74 ,0.122584741,$88.82 ,$44.41 ,6,"$1,907.22 ",$708.13 ,$635.74 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,550.64 ",$685.12 ,$387.66 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 2,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$833.18 ,$469.70 ,$416.59 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),Category 3,0,,$0.00 ,0,$0.00 ,$0.00 ,2,$669.50 ,$468.52 ,$334.75 
2,Korea Republic,TBD,Group A,153033402,Korea Republic vs TBD - World Cup - Group A (Match 2),6/11/2026 9:00:00 PM +00:00,Estadio Akron (Chivas Stadium),CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,2,"$1,318.40 ",$520.83 ,$659.20 
3,Canada,TBD,Group B,153033402,Canada vs TBD - World Cup - Group B (Match 3),6/12/2026 3:00:00 PM +00:00,BMO Field,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,2,"$4,340.00 ","$2,484.07 ","$2,170.00 "
3,Canada,TBD,Group B,153021783,Canada vs TBD - World Cup - Group B (Match 3),6/12/2026 3:00:00 PM +00:00,BMO Field,CATEGORY 1,0,,$0.00 ,0,$0.00 ,$0.00 ,3,"$6,510.00 ","$4,277.21 ","$2,170.00 "
